station_id,latitude,longitude
yufa_aq,39.52,116.3
liulihe_aq,39.58,116
yongledian_aq,39.712,116.783
daxing_aq,39.718,116.404
fangshan_aq,39.742,116.136
yizhuang_aq,39.795,116.506
yungang_aq,39.824,116.146
nansanhuan_aq,39.856,116.368
fengtaihuayuan_aq,39.863,116.279
yongdingmennei_aq,39.876,116.394
wanshouxigong_aq,39.878,116.352
tiantan_aq,39.886,116.407
tongzhou_aq,39.886,116.663
qianmen_aq,39.899,116.395
gucheng_aq,39.914,116.184
guanyuan_aq,39.929,116.339
dongsi_aq,39.929,116.417
mentougou_aq,39.937,116.106
nongzhanguan_aq,39.937,116.461
dongsihuan_aq,39.939,116.483
xizhimenbei_aq,39.954,116.349
aotizhongxin_aq,39.982,116.397
wanliu_aq,39.987,116.287
zhiwuyuan_aq,40.002,116.207
beibuxinqu_aq,40.09,116.174
donggaocun_aq,40.1,117.12
shunyi_aq,40.127,116.655
pinggu_aq,40.143,117.1
pingchang_aq,40.217,116.23
dingling_aq,40.292,116.22
huairou_aq,40.328,116.628
badaling_aq,40.365,115.988
miyun_aq,40.37,116.832
yanqin_aq,40.453,115.972
miyunshuiku_aq,40.499,116.911
